Datetime	Close	Volume	AAPL-count	AAPL-followers	AAPL-followers happy	AAPL-followers sad	AAPL-happy	AAPL-sad
2013-12-13 18:45:00+00:00	555,722	10224	0	-0,009	-0,003	0,002	0	0
2013-12-13 18:46:00+00:00	555,88	12367	1	47,928	-0,003	0,002	0	0
2013-12-13 18:47:00+00:00	555,82	2988	3	16,033	8,829	3,608	1	1
2013-12-13 18:48:00+00:00	555,78	4764	5	61,243	3,603	4,901	1	1
2013-12-13 18:49:00+00:00	555,86	10757	0	-0,009	-0,003	0,002	0	0
2013-12-13 18:50:00+00:00	555,77	17587	3	71,407	-0,003	22,418	0	2
2013-12-13 18:51:00+00:00	555,655	9219	3	31,455	13,997	3,466	1	1
2013-12-13 18:52:00+00:00	555,62	20934	1	4,463	4,469	0,002	1	0
2013-12-13 18:53:00+00:00	555,63	11403	0	-0,009	-0,003	0,002	0	0
2013-12-13 18:54:00+00:00	555,52	6384	5	15,124	2,446	7,213	1	2
2013-12-13 18:55:00+00:00	555,46	5990	2	7,202	-0,003	0,002	0	0
2013-12-13 18:56:00+00:00	555,16	17737	2	7,202	-0,003	3,608	0	1
2013-12-13 18:57:00+00:00	555,199	8828	5	39,397	0,997	29,577	1	3
2013-12-13 18:58:00+00:00	555,06	42063	2	51,981	42,553	0,003	1	0
2013-12-13 18:59:00+00:00	555	26964	3	11,216	3,739	7,486	1	2
2013-12-13 19:00:00+00:00	555,111	15601	2	42,328	2,447	0,003	1	0
2013-12-13 19:01:00+00:00	555,39	17311	2	61,983	-0,002	53,22	0	1
2013-12-13 19:02:00+00:00	555,27	32588	1	7,866	-0,002	0,003	0	0
2013-12-13 19:03:00+00:00	555,19	34720	3	17,409	-0,002	17,42	0	3
2013-12-13 19:04:00+00:00	555	20630	2	18,746	-0,002	18,757	0	2
2013-12-13 19:05:00+00:00	555,17	6866	3	469,358	28,916	0,003	2	0
2013-12-13 19:06:00+00:00	554,9	21578	5	33,609	-0,002	1,003	0	1
2013-12-13 19:07:00+00:00	554,83	26357	2	20,212	-0,002	0,003	0	0
2013-12-13 19:08:00+00:00	554,97	20421	3	30,99	4,688	21,729	1	1
2013-12-13 19:09:00+00:00	554,97	4375	4	56,461	3,314	23,19	1	2
2013-12-13 19:10:00+00:00	554,68	19116	0	-0,008	-0,003	0,004	0	0
2013-12-13 19:11:00+00:00	554,98	23618	0	-0,008	-0,003	0,004	0	0
2013-12-13 19:12:00+00:00	554,93	12971	3	39,238	4,997	19,317	1	1
2013-12-13 19:13:00+00:00	554,85	24029	1	3,865	3,87	0,004	1	0
2013-12-13 19:14:00+00:00	554,81	12546	3	63,543	43,573	0,004	2	0
2013-12-13 19:15:00+00:00	554,85	15786	1	47,94	-0,003	0,004	0	0
2013-12-13 19:16:00+00:00	554,8	9470	3	44,984	44,989	0,004	3	0
2013-12-13 19:17:00+00:00	554,66	14127	1	131,251	-0,003	0,004	0	0
2013-12-13 19:18:00+00:00	555	24576	5	350,62	70,828	41,595	1	2
2013-12-13 19:19:00+00:00	554,89	10785	2	21,682	4,688	0,004	1	0
2013-12-13 19:20:00+00:00	554,71	10679	5	90,555	26,038	0,004	2	0
2013-12-13 19:21:00+00:00	554,85	5916	1	27,992	-0,002	28,004	0	1
2013-12-13 19:22:00+00:00	554,78	5541	2	17,706	12,327	0,004	1	0
2013-12-13 19:23:00+00:00	554,5	17826	2	47,185	47,191	0,004	2	0
2013-12-13 19:24:00+00:00	554,54	20009	2	33,959	33,965	0,004	2	0
2013-12-13 19:25:00+00:00	554,53	18044	1	3,734	-0,002	0,004	0	0
2013-12-13 19:26:00+00:00	554,72	15289	3	72,168	65,466	0,004	2	0
